x,class_greg
favorite,value
good,value
fun,value
prime,value
inappropriate,value
popular,value
prestigious,value
ugly,value
ideal,value
bad,value
negative,value
great,value
special,value
normal,value
elaborate,value
fancy,value
genuine,value
important,value
pleasant,value
excellent,value
wonderful,value
reasonable,value
quaint,value
fantastic,value
easy,value
incredible,value
cute,value
convenient,value
strange,value
lovely,value
sophisticated,value
silly,value
beautiful,value
acceptable,value
best,value
plain,value
gorgeous,value
gross,value
ludicrous,value
interesting,value
useful,value
fast,speed
speedy,speed
slow,speed
circular,shape
hard,physical
sweet,physical
creamy,physical
salty,physical
wet,physical
spiky,physical
shiny,physical
raspy,physical
smooth,physical
sour,physical
blunt,physical
solid,physical
spicy,physical
frozen,physical
lacy,physical
dried,physical
dirty,physical
humid,physical
curly,physical
dusty,physical
quiet,physical
brazilian,nationality
texan,nationality
american,nationality
hispanic,nationality
argentine,nationality
chinese,nationality
victorian,nationality
english,nationality
french,nationality
mexican,nationality
italian,nationality
vietnamese,nationality
international,nationality
national,nationality
japanese,nationality
european,nationality
latin,nationality
corduroy,material
wooden,material
gold,material
crocheted,material
creative,human
elitist,human
strict,human
crazy,human
social,human
experienced,human
selfish,human
happiest,human
professional,human
funny,human
intellectual,human
entrepreneurial,human
mad,human
civilized,human
sad,human
playful,human
cheerful,human
full,dimension
lengthy,dimension
short,dimension
little,dimension
long,dimension
fat,dimension
high,dimension
skinny,dimension
tall,dimension
small,dimension
large,dimension
tiny,dimension
wide,dimension
mini,dimension
flat,dimension
open,dimension
narrow,dimension
humongous,dimension
biggest,dimension
huge,dimension
thick,dimension
low,dimension
deep,dimension
tiniest,dimension
slight,dimension
thin,dimension
blue,color
white,color
red,color
blonde,color
black,color
purple,color
green,color
yellow,color
old,age
new,age
junior,age
young,age
senior,age
old-time,age
