"","predicate1","adj_preferred_10"
"1","bad",0.526315789473684
"2","big",1
"3","blue",0.105263157894737
"4","brown",0.125
"5","fresh",0.444444444444444
"6","good",0.708333333333333
"7","green",0.157894736842105
"8","hard",0.45
"9","huge",0.8125
"10","long",0.6875
"11","metal",0
"12","new",0.571428571428571
"13","old",0.555555555555556
"14","plastic",0
"15","purple",0.15
"16","red",0.125
"17","rotten",0.294117647058824
"18","round",0.4
"19","short",0.944444444444444
"20","small",0.789473684210526
"21","smooth",0.590909090909091
"22","soft",0.619047619047619
"23","square",0.318181818181818
"24","tiny",0.736842105263158
"25","wooden",0
"26","yellow",0.0588235294117647
